#Table1
objID,ra,dec,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroRad_r,petroRad_g,z,zErr
1237648704586121340,203.999514015195,0.0408182900189198,20.01278,18.11253,17.13869,16.65711,16.27371,3.4943,3.315247,0.07790425,1.225725E-05
1237648704586121380,204.036936729873,0.18842149254351,19.34803,18.11881,17.25317,16.82927,16.54035,8.509994,8.27886,0.1712528,8.421788E-06
1237648704586121497,204.034058383959,0.0232393334911204,22.64912,19.84758,18.20191,17.57282,17.17706,4.865554,4.282795,0.3203083,7.222935E-05
1237648704586121848,204.005025057899,0.209980301297471,24.14187,21.86893,20.43213,19.21943,18.78624,4.295918,2.969403,0.6890469,0.0001688898
1237648704586121887,204.013984968977,0.0625204268322835,22.26348,21.45024,20.65289,19.74112,19.40671,2.93386,3.171739,0.6786114,0.0001604826
1237648704586122284,204.118829533081,0.101393792641943,24.71902,23.13532,21.06174,19.76895,19.30001,2.053864,1.2443,0.6767426,0.000187279
1237648704586187285,204.175735403416,0.111502858601098,23.50001,21.80673,20.38941,19.39403,19.25318,3.405632,2.351014,0.5182016,0.0002604011
1237648704586187366,204.19867864389,0.0171088380353373,23.01683,21.9976,20.21854,19.36888,18.84623,2.808687,2.250335,0.4775961,0.0001201549
1237648704586187404,204.210908648832,0.100197232299545,24.40709,21.37802,19.87813,18.83582,18.47338,3.052708,2.969783,0.5192883,0.0001368415
1237648704586187484,204.235490605922,0.154918579778668,22.49041,21.82506,20.88084,19.8625,19.26136,2.753099,2.969783,0.7269759,0.0001970496
1237648704586187551,204.260023521262,0.0860265275246146,24.54106,22.21023,20.46075,19.54688,19.16834,2.904291,2.211196,0.4778591,0.0001362062
1237648704586252503,204.372963735066,0.205195419141671,20.70408,18.62219,17.46551,16.97564,16.58644,4.706832,4.697132,0.1624072,4.398787E-05
1237648704586252604,204.373343448611,0.192827568972764,25.39435,20.60617,18.81121,18.21766,17.81884,3.125314,2.547617,0.3303167,8.022601E-05
1237648704586252608,204.377170183319,0.00786466098495421,21.7683,19.76056,18.24737,17.72289,17.38528,3.693417,3.205025,0.2449236,3.675653E-05
1237648704586252651,204.369191532304,0.0714199369238008,22.37722,21.37156,20.10615,19.21585,19.0534,4.277551,2.969335,0.5869852,3.967728E-05
1237648704586252659,204.39623209672,0.0585425961799932,22.72596,20.92218,19.13287,18.48933,17.99076,3.156834,3.39023,0.3789751,6.655128E-05
1237648704586252676,204.29010270113,0.0536482720014884,25.00085,21.69619,20.06768,19.12456,18.84396,2.969332,2.969335,0.4816489,0.0001043588
