z_actual,z_predicted,distance,velocity
0.7756866,0.4782331,3018.2832944524935,143370.69
0.6563041,0.49796045,2977.5015758068457,149284.8
0.17273,0.14841828,496.4688446277512,44494.684
0.04958897,0.14773479,383.43698402879767,44289.777
0.1075899,0.1411887,343.57218748033256,42327.31
0.1118924,0.15121864,466.5197132377872,45334.207
1.017677,0.15068972,482.2164261085973,45175.645
0.6420126,0.4717219,2303.9868710962264,141418.67
0.08160174,0.14044887,352.5299342602473,42105.51
0.597887,0.45509052,2077.2271962848213,136432.72
0.400453,0.33948725,1126.6784820709959,101775.72
0.07057208,0.13477334,288.5213794971738,40404.035
0.352383,0.26383293,1074.2070541675657,79095.125
0.0821794,0.12767139,262.5608683351956,38274.92
0.101529,0.15201144,428.17765565531425,45571.883
0.08408105,0.15226465,540.8066210537835,45647.797
0.170104,0.14674453,383.9971490484281,43992.906
0.09736972,0.15558778,517.3804330606338,46644.043
0.7291693,0.4735542,2501.8311755421378,141967.98
0.5554034,0.40971547,2583.128434146245,122829.62
0.07794146,0.14781156,568.38682161833,44312.793
0.4492062,0.49140036,1267.021545339917,147318.12
0.0002378761,0.43074822,2618.9909638066456,129135.07
0.5788851,0.5362676,2644.9167075941064,160768.98
0.4193295,0.38164455,971.9233142581945,114414.164
0.1396264,0.1372804,377.83135867717044,41155.633
0.2332882,0.35332525,1254.3652091701679,105924.25
0.3541127,0.34569165,938.339502994842,103635.75
0.2240688,0.15203041,507.0070519875925,45577.57
0.7294369,0.31949797,2338.22338684859,95783.086
0.5897763,0.44660747,2324.3204325116208,133889.56
0.530468,0.4002828,2087.439993940933,120001.766
0.6854169,0.48181188,1534.6311172091364,144443.58
0.1387181,0.14242288,296.34527013131617,42697.31
1.0918,0.13389975,341.71653974112735,40142.137
0.05537476,0.15436462,492.6108804425624,46277.348
0.3377227,0.3197283,1012.0593931171877,95852.14
0.5428151,0.462587,2943.553949657435,138680.1
0.2926812,0.14273201,994.3608112665987,42789.98
0.7734563,0.46587873,2692.861393154823,139666.94
0.0320456,0.10966679,207.5209753825741,32877.277
0.2247202,0.14952931,476.9666348619849,44827.76
0.08393086,0.15859006,545.7905350711101,47544.105
